User ID,Device Type,Usage Hours Per Day,Energy Consumption,User Preferences,Malfunction Incidents,Device Age,Smart Home Efficiency
1,Smart Lock,15.31,1.96,1,4,36,1
2,Outdoor Camera Pro,19.97,8.61,1,0,29,1
3,Doorbell Camera Pro,18.91,2.65,1,0,20,1
4,Outdoor Camera Pro,7.01,2.34,0,3,15,0
5,Outdoor Camera Pro,22.61,4.86,1,3,36,1
6,Smart Thermosta,3.42,5.04,1,0,3,1
7,Doorbell Camera Pro,21.07,2.23,0,0,56,0
8,Doorbell Camera Pro,23.32,2.79,0,0,53,0
9,Doorbell Camera Pro,4.66,1.78,1,2,23,1
10,Outdoor Camera Pro,17.47,7.21,1,4,58,0
11,Smart Lock,1.45,7.72,0,3,54,0
12,Doorbell Camera Pro,10.03,4.68,0,3,46,0
13,Outdoor Camera Pro,12.63,7.17,1,1,9,1
14,Smart Thermosta,14.15,7.39,0,2,30,0
15,Smart Lock,22.49,1.47,0,0,19,1
16,Smart Thermosta,16.3,9.67,1,0,38,1
17,Smart Lock,11.81,8.23,1,2,3,1
18,Outdoor Camera Pro,19.53,2.12,0,3,50,0
19,Smart Hub,22.84,1.94,1,0,48,1
20,Smart Lock,1.02,1.34,1,1,3,1
21,Smart Thermosta,23.59,1.47,1,3,34,1
22,Outdoor Camera Pro,2.52,7.51,1,4,2,0
23,Smart Lock,19.64,4.75,1,2,58,1
24,Smart Hub,7.09,7.85,0,3,27,0
25,Smart Hub,3.61,7.49,0,4,23,0
26,Doorbell Camera Pro,10.84,6.09,1,1,42,0
27,Doorbell Camera Pro,15.63,6.9,1,2,32,1
28,Smart Thermosta,9.45,0.28,1,0,47,1
29,Smart Lock,1.78,3.19,0,0,35,0
30,Smart Lock,14.59,6.41,0,4,40,0
31,Doorbell Camera Pro,21.71,0.19,0,3,18,0
32,Smart Lock,9.51,0.43,0,1,27,0
33,Smart Lock,5.58,8.53,1,4,11,0
34,Smart Hub,10.9,6.87,1,1,39,0
35,Doorbell Camera Pro,1.64,2.73,0,1,19,0
36,Outdoor Camera Pro,19.78,6.91,0,1,25,0
37,Doorbell Camera Pro,19.92,7.95,1,2,7,1
38,Outdoor Camera Pro,14.32,3.14,1,4,31,1
39,Smart Hub,8.8,0.46,1,2,57,1
40,Smart Thermosta,19.29,9.33,1,3,2,1
41,Smart Lock,13.54,3.52,1,3,38,1
42,Smart Hub,19.91,1.15,0,0,5,1
43,Smart Lock,15.34,4.97,1,0,14,1
44,Smart Thermosta,18.93,7.71,0,0,18,0
45,Smart Thermosta,14.57,2.29,0,3,36,0
46,Smart Hub,10.23,2.77,1,1,4,1
47,Smart Thermosta,23.01,2.5,0,1,24,0
48,Outdoor Camera Pro,13.22,9.92,0,4,13,0
49,Smart Thermosta,14.72,2.05,1,3,55,1
50,Smart Lock,5.68,5.8,0,0,21,0
51,Smart Lock,15.2,9.26,1,3,57,0
52,Smart Lock,13.93,1.55,1,1,33,1
53,Smart Lock,4.84,9.71,0,1,20,0
54,Outdoor Camera Pro,1.9,9.48,1,2,5,0
55,Doorbell Camera Pro,14.7,8.86,1,2,24,1
56,Smart Hub,18.45,2.22,0,4,35,0
57,Smart Lock,12.8,6.38,1,3,30,1
58,Smart Thermosta,5.83,7.63,0,2,28,0
59,Smart Lock,16.16,9.86,0,2,53,0
60,Smart Thermosta,2.38,1.89,1,3,51,0
